Severity,Humidity(%),Temperature(C),Weather_Condition,is_Rain,is_Snow,is_Fog,is_Clear,is_Cloud,HighSeverity
2,97.0,22.22222222222222,Cloudy,False,False,False,False,True,0
2,83.0,12.777777777777779,Fair,False,False,False,True,False,0
2,32.0,10.555555555555555,Fair,False,False,False,True,False,0
2,70.0,19.444444444444443,Fair,False,False,False,True,False,0
2,93.0,-1.1111111111111112,Cloudy,False,False,False,False,True,0
2,83.0,22.22222222222222,Fair,False,False,False,True,False,0
2,70.0,27.77777777777778,Fair,False,False,False,True,False,0
2,14.0,21.11111111111111,Fair,False,False,False,True,False,0
2,78.0,18.88888888888889,Cloudy,False,False,False,False,True,0
3,16.0,17.22222222222222,Fair,False,False,False,True,False,0
2,96.0,21.666666666666668,Fair,False,False,False,True,False,0
3,78.0,20.0,Fair,False,False,False,True,False,0
2,53.0,22.22222222222222,Fair,False,False,False,True,False,0
1,100.0,15.555555555555555,Fair,False,False,False,True,False,0
2,34.0,13.88888888888889,Fair,False,False,False,True,False,0
3,55.0,32.77777777777778,Partly Cloudy,False,False,False,False,True,0
2,54.0,26.11111111111111,Fair,False,False,False,True,False,0
3,57.0,22.22222222222222,Fair,False,False,False,True,False,0
2,93.0,20.555555555555557,Fair,False,False,False,True,False,0
2,83.0,12.777777777777779,Fair,False,False,False,True,False,0
2,88.0,22.77777777777778,Fair,False,False,False,True,False,0
2,99.0,8.333333333333334,Light Rain,True,False,False,False,False,0
2,94.0,23.88888888888889,Partly Cloudy,False,False,False,False,True,0
2,42.0,28.88888888888889,Fair,False,False,False,True,False,0
2,48.0,18.277777777777782,Clear,False,False,False,True,False,0
2,87.0,22.77777777777778,Mostly Cloudy,False,False,False,False,True,0
3,85.0,-2.7777777777777777,Wintry Mix,False,False,False,False,False,0
2,94.0,20.0,Cloudy,False,False,False,False,True,0
2,52.0,2.2222222222222223,Overcast,False,False,False,False,True,0
3,87.0,-16.11111111111111,Fair,False,False,False,True,False,0
2,50.0,32.77777777777778,Fair,False,False,False,True,False,0
2,78.0,22.77777777777778,Mostly Cloudy,False,False,False,False,True,0
2,89.0,2.7777777777777777,Cloudy,False,False,False,False,True,0
2,56.0,16.11111111111111,Cloudy,False,False,False,False,True,0
3,100.0,14.444444444444445,Rain,True,False,False,False,False,0
2,75.0,14.444444444444445,Fair,False,False,False,True,False,0
2,74.0,11.11111111111111,Fair,False,False,False,True,False,0
2,72.0,16.11111111111111,Fair,False,False,False,True,False,0
2,63.0,-2.7777777777777777,Fair,False,False,False,True,False,0
2,35.0,6.111111111111111,Partly Cloudy / Windy,False,False,False,False,True,0
2,53.0,21.11111111111111,Mostly Cloudy,False,False,False,False,True,0
